Text;Is this a Case Report reporting on the history of a single patient?;Did the patient receive radiation therapy?;Did the patient receive the systemic therapy Cisplatin?;Was Cisplatin given before RT?;Was Cisplatin given at the same time as RT?;Was Cisplatin given after RT?;male;female;lung;kidney;lymphoma;skin;gyn;pancreas;patient died;positive outcome from ICI/RT-Interaction;negative outcome from ICI/RT-Interaction
Radiation Recall Pneumonitis on FDG PET/CT Triggered by COVID-19 Vaccination.A 67-year-old man with metastatic lung adenocarcinoma was initially treated with whole-brain radiotherapy for intracranial metastases, followed by chemotherapy and pembrolizumab. After completing 2 years of systemic therapy, the primary right lung lesion was biopsy-proven to have residual adenocarcinoma, which was then treated with radiation (6000 cGy in 15 fractions). Follow-up serial FDG PET/CT showed radiation fibrosis. Eighteen months after radiotherapy, the patient received 2 doses of an mRNA COVID-19 vaccine. FDG PET/CT performed 4 days following his second vaccine dose showed FDG-avid multistation lymphadenopathy and radiation recall pneumonitis, likely vaccination-induced and mimicking recurrent disease. This resolved spontaneously without therapy.;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
Exoscopic-Endoscopic Resection of Intramedullary Spinal Cord Metastasis From Renal Cell Carcinoma With Ventral Exophytic Extension.Intramedullary spinal cord metastasis (ISCM) is a rare manifestation of renal cell carcinoma (RCC). A 73-year-old man presented with left shoulder pain and left upper extremity weakness for two months. Magnetic resonance imaging (MRI) revealed intramedullary and intradural extramedullary lesions at the C5 level, compressing the spinal cord from the center of the cord and the left ventral side. Contrast-enhanced CT revealed a right renal mass and brain MRI showed no other lesions. Digital subtraction angiography showed a tumor stain from the anterior spinal artery and subsequent angioarchitecture of the intra- and extramedullary tumors. Following exoscopic resection of the extramedullary tumor, the intramedullary tumor was removed via a posterior midline myelotomy. The tumor surrounding the anterior spinal artery was intentionally left to prevent neurological deficits. The histopathological examination revealed metastatic clear cell RCC. Postoperative MRI revealed a small residual tumor ventral to the spinal cord. The nephrectomy for the right RCC was performed one month after the initial spinal surgery. Within the subsequent one month, the residual tumor rapidly increased in size. Reoperation with exoscopic-endoscopic techniques achieved complete tumor resection. The patient underwent radiotherapy to the C3-6 levels (30 Gy in 10 fractions) and pembrolizumab therapy. Postoperative MRI demonstrated no recurrence for four months, and the patient's symptoms remained in the same preoperative state. This case highlights the successful use of advanced minimally invasive techniques for treating ventrally exophytic ISCM from RCC.;TRUE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
"Rapid disease progression in patient with mismatch-repair deficiency pituitary ACTH-secreting adenoma treated with checkpoint inhibitor pembrolizumab.Secreting pituitary adenomas are tumors for which few treatment options are available, including surgical treatment and management of hormonal imbalance due to altered pituitary secretion. In case of inoperable relapse, radiotherapy or chemotherapeutic treatment can be considered; the effectiveness of these treatments, however, remains limited. In the immunotherapy era, it is necessary to select patients who can benefit from immunotherapeutic treatment. Mismatch repair deficiency is strongly associated with responsiveness to anti-PD-1 in other cancers and can be detected using immunohistochemistry for MLH1, MSH2, MHS6, and PMS2. In this case report, we report a case of rapid disease progression to pembrolizumab in a patient with a MMRd pituitary adrenocorticotropic hormone (ACTH)-secreting adenoma. For the best of our knowledge, we described for the first time, a poor efficacy of pembrolizumab in a patient with ACTH-secreting pituitary adenoma having mismatch repair deficiency probably caused by high levels of cortisol in this patient. Prospective study should be performed to assess the activity of immune checkpoint inhibitor alone or in association with temozolomide in this subsetting of pituitary adenomas.";TRUE;FALSE;TRUE;;;;;;;;;;;;;;
Neoadjuvant Chemoradiotherapy Treatment for a Classic Biphasic Pulmonary Blastoma with High PD-L1 Expression.Pulmonary blastomas are rare malignant tumors, comprising only 0.25-0.5% of all malignant lung neoplasms. The prognosis of pulmonary blastoma is very poor, with an overall five-year survival of 16%. No standard treatment has been defined for unresectable disease. We present the case of a 25-year-old woman with unresectable locally advanced classic biphasic pulmonary blastoma (CBPB) successfully treated with neodjuvant chemoradiotherapy based on two chemotherapy induction cycles of cisplatin plus etoposide, followed by concurrent weekly cisplatin to 50.4 Gy radiotherapy treatment. The patient had a significant reduction in tumor size, allowing for complete resection by pneumonectomy. Molecular study for epidermal growth factor receptor (EGFR) mutations, anaplastic lymphoma kinase (ALK), proto-oncogene receptor tyrosine kinase (ROS1) and rearranged during transfection (RET) rearrangements, and programmed death ligand 1 (PD-L1) expression was performed in the pre-treatment tumor sample. Our patient presented a high expression (>90% of tumor cells) of PD-L1. To our knowledge, this is the first report of PD-L1 expression in CBPB. This could lead to new treatment options based on new immunotherapy agents blocking the PD-1/PD-L1 pathway for this rare disease with poor prognosis.;TRUE;TRUE;FALSE;;;;;;;;;;;;;;
Gougerot-Sjogren-like syndrome under PD-1 inhibitor treatment.;FALSE;;;;;;;;;;;;;;;;
Disease Response to Pazopanib in Follicular Dendritic Cell Sarcoma.Follicular dendritic cell sarcoma (FDCS) is a rare sarcoma, which commonly presents as a slow-growing, painless mass. There are only a few hundred reported FDCS cases, and the role for adjuvant chemo- or radiation therapy has not been established. Choosing an appropriate therapy in disseminated disease can therefore be challenging. A 26-year-old patient with FDCS was admitted with dyspnea, fever, and night sweats. He was found to have a large right hemothorax with compressive atelectasis on initial imaging. CT of the chest revealed multiple bilateral lung and pleural nodules with associated bilateral hilar adenopathy, a hypodense mass within the right hemithorax, and necrotic right external iliac and inguinal nodes. Inguinal node biopsy diagnosed FDCS. The patient was initially treated with cyclophosphamide, doxorubicin, vincristine, and prednisone chemotherapy. Gemcitabine/Taxotere was given as second-line therapy and pembrolizumab as third-line therapy, with continued disease progression after 2 cycles of both regimens. The patient was switched to fourth-line therapy with pazopanib and had a partial response for 9 months. This case illustrates a successful FDCS treatment with pazopanib. Due to the rarity of FDCS, where large studies comparing treatment approaches are not available, recommendations for optimal treatment are not well defined. This case is in support of growing evidence suggesting that FDCS responds to systemic therapies that are used for soft tissue sarcoma, such as pazopanib.;TRUE;FALSE;TRUE;;;;;;;;;;;;;;
Complete response to pembrolizumab and radiation in a patient with HIV-negative, EBV-positive plasmablastic lymphoma.;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Radiation therapy induces an abscopal effect and upregulates programmed death-ligand 1 expression in a patient with non-small cell lung cancer.Radiation therapy (RT) activates the antigen presentation of dendritic cells and priming of cancer-specific cytotoxic CD8(+) T cells, occasionally resulting in a systemic immune response to the tumor outside of the treatment field. The phenomenon of tumor regression at the site distant from irradiated fields is known as the abscopal effect. Several case reports have indicated a potential role of RT in overcoming primary and acquired resistance against immune checkpoint inhibitors in non-small cell lung cancer (NSCLC) and melanoma patients. We herein report an NSCLC patient who developed acquired resistance to an RT-induced abscopal effect and subsequently experienced reactivation of the systemic antitumor immune response by pembrolizumab, an antiprogrammed death 1 antibody. In this case, RT not only induced an abscopal effect but also upregulated the programmed death-ligand 1 expression outside of the irradiated field when the patient developed resistance to the abscopal effect. This case can facilitate our understanding of the mechanism underlying the RT-induced systemic immune response against cancer cells and adaptive resistance mechanism of cancer cells from immune surveillance. These findings highlight the promising results of current clinical trials combining RT and immune checkpoint inhibitors. Ongoing clinical trials will further establish evidence supporting combination therapy with RT and immune checkpoint inhibitors.;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
Successful treatment with an anti-PD-1 antibody for progressing brain metastases in renal cell cancer.;TRUE;FALSE;FALSE;;;;;;;;;;;;;;
"Small intestinal metastasis in a lung adenocarcinoma patient with concurrent EML4-ALK V3 and TP53 mutations after distinct responses to tyrosine kinase inhibitors: A case report.BACKGROUND: Although anaplastic lymphoma kinase tyrosine kinase inhibitors (ALK-TKIs) have improved the survival rates of lung cancer patients with ALK fusion mutations, their effectiveness varies significantly across different subtypes. We report a case of small intestine metastasis in a lung adenocarcinoma patient with co-occurring echinoderm microtubule-associated protein-like 4 (EML4)-ALK fusion variant 3 (V3) and tumor protein 53 (TP53) mutations after distinct responses to ALK-TKIs. CASE PRESENTATION: A 45-year-old woman was diagnosed with stage IV lung adenocarcinoma with brain metastasis. Next-generation sequencing revealed EML4-ALK V3 and TP53 co-mutations. After the initial treatment with ensartinib, the patient experienced intracranial disease progression. Radiation therapy (RT) was then administered. Despite good response to RT for the intracranial disease, the primary tumor enlarged. Thus, the patient was treated with oral ensartinib concurrent with chemotherapy, with a partial response in both the primary tumor and intracranial metastases. However, after three cycles of treatment, the patient discontinued chemotherapy because of acute kidney injury. Subsequent thoracic RT resulted in a partial response of the primary tumor; however, new brain and bone metastases were detected, prompting a switch to lorlatinib. The patient developed symptoms of intestinal obstruction 14 months after the initial diagnosis. Surgical intervention revealed a poorly differentiated metastatic lung adenocarcinoma of the upper jejunum. Genetic testing confirmed EML4-ALK V3 and TP53 co-mutations and high expression of programmed cell death-ligand 1. Despite pembrolizumab treatment, the patient's condition deteriorated, and she passed away. CONCLUSION: We reported a rare case of small intestinal metastasis in a lung adenocarcinoma patient with concurrent EML4-ALK V3/TP53 mutations after distinct responses to ALK-TKIs in different lesions. Our findings revealed heterogeneity in ALK mutations and responses to ALK-TKIs, necessitating the close monitoring of genetic subtypes and associated mutations for tailored treatment strategies. Maintaining a heightened awareness of potential intestinal metastasis and vigilance in monitoring intestinal symptoms and abdominal metastases are pivotal for managing advanced lung adenocarcinoma.";TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
